CustomerID,NameStyle,Title,FirstName,MiddleName,LastName,Suffix,CompanyName,SalesPerson,EmailAddress,Phone,PasswordHash,PasswordSalt,rowguid,ModifiedDate
75,False,Ms.,Aidan,,Delaney,,Paint Supply,adventure-works\jillian0,aidan0@adventure-works.com,358-555-0188,6lcVqEc4gGgfW6DsOks/KuDIWIP5qFsrc8sXtmcwj6E=,DKu7/UM=,55CFED0E-1A7B-409C-9AFF-297065965870,2005-09-01 00:00:00.000
77,False,Mr.,Michael,,Brundage,,Mechanical Products Ltd.,adventure-works\shu0,michael13@adventure-works.com,128-555-0148,Ioh5Ss2cXrUAI8DZcSkQ/z92aEmHE0Wxqc6MdggjJQE=,MjQeaAE=,B3F9113C-8FCE-47E1-9F04-38A0C68917C6,2006-08-01 00:00:00.000
78,False,Mr.,Stefan,,Delmarco,,Preferred Bikes,adventure-works\linda3,stefan0@adventure-works.com,819-555-0186,9rOycZRxDntXWB8Y/285x4HS6G2ATNOzhqIhF+oBGqc=,BsI2IB4=,8C8083AB-7943-44FA-B1AD-8E3ABD5D66EE,2005-08-01 00:00:00.000
79,False,Mr.,Mitch,,Kennedy,,Reasonable Bicycle Sales,adventure-works\shu0,mitch0@adventure-works.com,996-555-0192,Re4KikAJLZeLX+pM2Bw7HZNkd5Yyd/vrGB7WhjbYmCo=,lGI5cA0=,010D8AA6-CEBA-4097-9E67-3B2A9674FD5F,2006-08-01 00:00:00.000
93,False,Mr.,Prashanth,,Desai,,Stationary Bikes and Stands,adventure-works\jillian0,prashanth0@adventure-works.com,138-555-0156,AT0SeSL9gTlDL0/MHFMEy5GrEjR12DBF5ag/cyHZpJY=,l32Vf08=,249B42C2-8EAE-49F1-A560-A90837748654,2005-09-01 00:00:00.000
94,False,Mr.,Scott,,Konersmann,,Specialty Sports Store,adventure-works\jillian0,scott6@adventure-works.com,556-555-0192,2WMJfIzZjrB1xeQtjtSTUQfxxeowOV9LmAjmUkH/qP4=,A+rOrG0=,65BE08DA-DFB7-4BC8-AA5C-FAD98B82524E,2006-07-01 00:00:00.000
97,False,Mr.,Eugene,,Kogan,,Mountain Bike Center,adventure-works\shu0,eugene2@adventure-works.com,136-555-0134,Tp1Zre+rOA0pmlkyosHvuAxhbMWt7UcvCPrAYmXyI+w=,GdsdWsk=,355EB5D8-6B4C-4FFF-B12B-40F89CA4E31D,2006-08-01 00:00:00.000
102,False,Ms.,Linda,,Leste,,National Manufacturing,adventure-works\garrett1,linda7@adventure-works.com,493-555-0134,heRwLFQMae6Y0X7+Q7tLrq4gB5sXd8jC7uiIjXlEs6Y=,OHu+9rc=,959CF74B-1004-43F5-9AB7-4CDD482C847D,2005-08-01 00:00:00.000
118,False,Mr.,Yale,,Li,,Rapid Bikes,adventure-works\josé1,yale0@adventure-works.com,316-555-0138,B2RR480ridZSqURXY3APlxFk13GITW6LDFutGbpSUIs=,5MEUKYU=,5FEAFBD2-4A43-4641-8E94-B3059B2A882E,2005-09-01 00:00:00.000
120,False,Mr.,Pat,,Coleman,,Machines & Cycles Store,adventure-works\garrett1,pat2@adventure-works.com,292-555-0128,61UcbVZnGT5eqxs0oFMv4JyipeaQCUZgUZkPgtVNBDo=,7+I+4k4=,25863C18-4C9A-4BC9-BE0D-95F4CF67BF7D,2007-07-01 00:00:00.000
124,False,Ms.,Yuhong,,Li,,Nearby Sporting Goods,adventure-works\jae0,yuhong1@adventure-works.com,1 (11) 500 555-0176,XrcuygOte7eGdTleJOKDmf/XBySqc/0xVbjpIPzMWQA=,R273GbA=,2F614C31-ABAE-42D0-820B-193F0DDC811E,2006-08-01 00:00:00.000
133,False,Mr.,Michael,,Graff,,Commercial Sporting Goods,adventure-works\shu0,michael16@adventure-works.com,132-555-0150,NRM1BXnt0/4EDaPuM5qday+BOZANEisKCyGGQqJxXpY=,ewV5lII=,4F61574B-8353-42EC-825C-87896E6E16A4,2006-09-01 00:00:00.000
136,False,Mr.,Derek,,Graham,,Wholesale Parts,adventure-works\josé1,derek0@adventure-works.com,674-555-0187,FJJVccEFyVV8NubSxOFblRtnKqQD221f9AT9xxYTOUA=,8ju6sOA=,84CD4767-F142-4D9D-9033-AD3ADE34BF74,2005-08-01 00:00:00.000
138,False,Ms.,Jane,,Clayton,,South Bike Company,adventure-works\garrett1,jane1@adventure-works.com,206-555-0195,o02Imw+gyZX9J1yiTBKYD4M5XlerPqz3usX+v3CsDHA=,PZCGT2g=,91B9EF4B-2FA8-4936-AC71-1FA1B3624D12,2007-08-01 00:00:00.000
142,False,Mr.,Jon,,Grande,,Riding Cycles,adventure-works\jae0,jon1@adventure-works.com,1 (11) 500 555-0114,26rwIeR9oyfo+P6lodeASP/MAC2/tdKFbmFVC5uBRmA=,83inWt0=,B821D13F-E9DB-4A3B-87D0-7E867A161575,2007-09-01 00:00:00.000
145,False,Mr.,Ted,,Bremer,,Raw Materials Inc,adventure-works\pamela0,ted0@adventure-works.com,962-555-0166,mBQHYK00pq9+tDgH7TR6fPrrYQ2drX7/VuuHgkUSOiQ=,MxiyX14=,FEC5609D-042B-4480-B1BA-55F2D4107327,2005-08-01 00:00:00.000
146,False,Mr.,Richard,,Bready,,Latest Sports Equipment,adventure-works\david8,richard1@adventure-works.com,340-555-0131,kOabrc0OqOISR4N3D3FZkOh3yAKQCF/ozSx7G00Kpt0=,jpRF8lY=,5475E9DD-98CA-4989-B7A2-3FC929BEEA12,2005-07-01 00:00:00.000
147,False,Ms.,Alice,,Clark,,Local Hardware Factory,adventure-works\jillian0,alice1@adventure-works.com,221-555-0141,ZZhnNULC5d/7tZv0hUtCl4jKwgyZql8aSrIzlTaTvg0=,hGHOthw=,03836A0B-7AD8-4115-8D23-6EFA0D8DEEA1,2006-09-01 00:00:00.000
148,False,Mr.,Alan,,Brewer,,Lots of Bikes Storehouse,adventure-works\jillian0,alan1@adventure-works.com,494-555-0134,t9ecYoVIOcEiyXvl+noHoCymcRlJij1fzZzXfKeZ/R0=,6ZoXk8E=,79355855-A002-4393-BB6E-36F90913FA4D,2005-11-01 00:00:00.000
163,False,Mr.,Andrew,,Cencini,,Sports Merchandise,adventure-works\pamela0,andrew2@adventure-works.com,644-555-0111,Eo1pvctUvdkRpUgGHwOfILlh5uZiYuLv+eBXLj1viR8=,LCi+QgQ=,989F9F3A-7CB8-4083-8CDA-291C682BE73C,2007-09-01 00:00:00.000
165,False,Mr.,Randall,,Boseman,,Third Bike Store,adventure-works\jillian0,randall0@adventure-works.com,383-555-0117,UsXZ9ElCaZBo0YED9A2khFNGjNK+8yHdxnraI+OHsZ8=,oMeb83g=,3CDBD3EA-DA78-4F9A-8EEC-8DA4C050C817,2006-09-01 00:00:00.000
167,False,Mr.,Blaine,,Dockter,,Farthermost Bike Shop,adventure-works\shu0,blaine0@adventure-works.com,156-555-0187,9E6RJtJrsu2iqMbyKMJRaVfPipCW5XObegb3KE3K85M=,hiSI26I=,515D4A13-4E60-4D0C-8F22-BB89A9D312AD,2005-08-01 00:00:00.000
168,False,Sr.,Luis,,Bonifaz,,Economy Bikes Company,adventure-works\linda3,luis0@adventure-works.com,688-555-0113,fOnF7T/vMnI6uJzH1IxN9lcM8z31odelgSIW9Vu8sD4=,dz8Ej6A=,FCE18386-F492-4D4A-A6D2-FB7EF20C57FC,2006-09-01 00:00:00.000
169,False,Ms.,Brenda,,Diaz,,Downtown Hotel,adventure-works\shu0,brenda2@adventure-works.com,147-555-0192,84meSWqxRT9guwZSihzP3MYe7UV2VaMLBldOf8pTy5A=,lsd099Q=,2D6BBC35-BC19-4CB4-A61B-46899D3A4237,2005-09-01 00:00:00.000
172,False,Ms.,Gabriele,,Dickmann,,Certified Sports Supply,adventure-works\josé1,gabriele0@adventure-works.com,835-555-0116,6eApe0lB1ZkvyJB3Uo3LaYGV8sm2/NE9fUHXM7a0RYU=,M8SoIWU=,324C671D-DD10-4EE2-857A-767917ACC2A3,2005-09-01 00:00:00.000
178,False,Mr.,Dick,,Dievendorff,,Rampart Amusement Company,adventure-works\jae0,dick1@adventure-works.com,1 (11) 500 555-0193,dI9bbaCIElCUwy2PYLUYLNIrdM9yCcuTmHspqw8Wsxc=,FihOX8w=,05B8FB77-FC67-4279-AEBD-4162D21B9A11,2007-08-01 00:00:00.000
183,False,Mr.,Yao-Qiang,,Cheng,,This Area Sporting Goods,adventure-works\jillian0,yao-qiang0@adventure-works.com,344-555-0181,3LD/Jab7lP6gIPvK5EdTnwhHBo+dxs3y9GbIgmN6E8Q=,BG6Ps64=,B2051957-B411-44E1-BCA5-63FECB5368F2,2006-07-01 00:00:00.000
185,False,Mr.,Sandeep,,Kaliyath,,Weekend Bike Tours,adventure-works\shu0,sandeep1@adventure-works.com,495-555-0113,Rrgza3uGhmNF9StSEGpXIJ5moVVsmcjhGDjdCAPyMnc=,ekE0M9I=,5014E91D-7B0E-495A-B429-FF915BE9D2FD,2007-07-01 00:00:00.000
186,False,Mr.,Pei,,Chow,,Thrilling Bike Tours,adventure-works\linda3,pei0@adventure-works.com,789-555-0184,UVTWGfYZBU+ZmXLqhvqZFDwYXdtX14O87KHOHN36XDc=,pI/k4Qw=,48D3E26E-C051-4B24-A37F-A88F5294F25F,2007-09-01 00:00:00.000
187,False,Mr.,Frank,,Campbell,,Trailblazing Sports,adventure-works\shu0,frank4@adventure-works.com,491-555-0132,XKb/GbNNUPKesifxpBwavz3wz5Y3jbFPJgsBIVEFvO0=,/9h1e7s=,3329CE97-BB9F-4C36-9197-A6EEE803BD94,2005-09-01 00:00:00.000
190,False,Mr.,Mark,,Lee,,Racing Partners,adventure-works\josé1,mark5@adventure-works.com,371-555-0112,Lk6x4lbbepoCdlNUxLYjn6D3zCWVxEKiK2DwxCURAis=,s7z2FRc=,91154406-0118-4A11-BB1B-366EDFB5C97A,2007-09-01 00:00:00.000
192,False,Mr.,Hao,,Chen,,Nuts and Bolts Mfg.,adventure-works\garrett1,hao1@adventure-works.com,117-555-0173,iwlZhoYS98IRDbB9ps/YqC5ITCR+AZm5L+5g5nqHzE4=,okCr0j4=,84401968-8977-4380-9B4E-D5149C8126C0,2005-08-01 00:00:00.000
196,False,Ms.,Jolie,,Lenehan,,Exhibition Showroom,adventure-works\jae0,jolie0@adventure-works.com,1 (11) 500 555-0126,qUddcyDDhMORzm2Tp3YcC3vD7dXKgTEDtTorjPbhbmk=,C2IP7to=,5F0EB2D3-4691-4F71-8E9B-A3EACFA4A1D5,2007-07-01 00:00:00.000
199,False,Mr.,Roger,,Lengel,,Authorized Bike Sales and Rental,adventure-works\pamela0,roger1@adventure-works.com,947-555-0143,LoVploOms9pM4zQpIHQdGFLraQGd2ZtmlhGCKz8RxZk=,1PXmt4Y=,F0CD52D1-B838-451E-B015-5414AB7D9154,2007-08-01 00:00:00.000
203,False,Ms.,Jean,,Jordan,,Separate Parts Corporation,adventure-works\shu0,jean3@adventure-works.com,207-555-0129,Fz+NYcaaq3h6DqGHlfln+rg8Acm2x1ZGxvEayxBvctA=,RqNfsHY=,B05AAA08-ABC9-41E1-B113-65347A2EE406,2005-07-01 00:00:00.000
204,False,Mr.,Ido,,Ben-Sachar,,Traction Tire Company,adventure-works\linda3,ido0@adventure-works.com,973-555-0112,miuh5Po0s3jNnKrMwmuROEApoKFRWumb1K1EMP0hGB0=,TLqFgK0=,C807870F-FA5D-44CB-B373-47ECAC52C1D8,2005-07-01 00:00:00.000
205,False,Mr.,Frank,,Mart¡nez,,Rally Master Company Inc,adventure-works\shu0,frank5@adventure-works.com,171-555-0147,om5PZqKM1Q45cWiYPIrXl/Aae/JkbppbhDiC35ExpI8=,6YiQ2V8=,9DB0BD27-5CE6-4F6D-8C90-A85422B86060,2007-07-01 00:00:00.000
208,False,Mr.,Steve,,Masters,,Professional Cyclists,adventure-works\josé1,steve2@adventure-works.com,154-555-0115,yFi3yGOATh6SBDVcA2+76Fx57aewXlckixsLIK6rBQ8=,WWk6sxA=,6005E7A8-0101-4BE2-B8C1-F4AD936E496F,2005-08-01 00:00:00.000
210,False,Mr.,Josh,,Barnhill,,Gasless Cycle Shop,adventure-works\garrett1,josh0@adventure-works.com,584-555-0192,bskaXdzyt3OUpHetBO/IcD+SDhG5EyMDjtlYBlgd5JM=,m3KdhOo=,FF748558-EA94-4C67-A764-D1480B0F8548,2005-08-01 00:00:00.000
217,False,Mr.,Chris,,Maxwell,,City Manufacturing,adventure-works\pamela0,chris6@adventure-works.com,642-555-0187,ixajZho2s3ev/ogNQ9FUe1TyfA9yX1aEVWDOy/mdUAU=,k3iiros=,5CFC3A75-DDC6-4C65-B4C3-15BF96C92983,2006-11-01 00:00:00.000
218,False,Mr.,David,,Johnson,,Sure & Reliable Sporting Goods,adventure-works\david8,david18@adventure-works.com,476-555-0139,tw+fIchafvuaOuwyEXmlXbPr9Vt3EILylHlmwfm6Gig=,0fgKxF4=,3C098480-0D9B-409C-8156-C7610415AC5B,2005-08-01 00:00:00.000
219,False,Mr.,Brian,,Johnson,,Extras Sporting Goods,adventure-works\jillian0,brian6@adventure-works.com,320-555-0134,TGnRB6vDbV0LZss8tA9iu637/34mcJWkD0Ux4xaza/k=,2t9hMlk=,D39CCCE3-C4A6-441D-8A3C-96507627746D,2007-03-01 00:00:00.000
220,False,Mr.,Robert,,Brown,,Best o' Bikes,adventure-works\jillian0,robert5@adventure-works.com,575-555-0189,WdS3xcgtqW4nnV7dyZ17PmiMPZ5vKs5whm3ANBVQ1sQ=,mQK+bIw=,81305A48-9F6E-4415-B7AA-488BA04A8F7E,2007-07-01 00:00:00.000
222,False,Mr.,Barry,,Johnson,,Sample Bike Store,adventure-works\linda3,barry1@adventure-works.com,858-555-0140,lepgCpcuzDRNfqPaAgUacRzPVGGXHwiRm7wwJ4cNgBs=,lkPNcdI=,3DB84B19-4063-4EC2-B1B4-317DEE133A25,2005-09-01 00:00:00.000
223,False,Ms.,Joyce,,Jarvis,,Paints and Solvents Company,adventure-works\shu0,joyce0@adventure-works.com,458-555-0179,HdGP+FhhGf8dYBcwT4pIsPs6mdixGxg1UVN0kMtW2Jk=,XdEyqf4=,994837FE-10A8-47DF-B7B8-86C4E6932FD0,2007-09-01 00:00:00.000
232,False,Mr.,David,,Jaffe,,Exceptional Cycle Services,adventure-works\jae0,david17@adventure-works.com,1 (11) 500 555-0140,FGdnPYTMqac/OnHuvpZH+gBqo30RCSqFL8kFsXLMOlI=,AnSCCJw=,AA451BD5-FFC2-436C-A295-81B350A5B899,2007-07-01 00:00:00.000
235,False,Ms.,Mary,,Alexander,,Certified Bicycle Supply,adventure-works\pamela0,mary7@adventure-works.com,344-555-0133,y0iroPvPC4eEspx+3ldDYTXprGyXnnCpLGd3uXHr/+A=,F1wnUPk=,A4DF6D50-5068-4FA9-B4CA-A3195EB29BB6,2006-09-01 00:00:00.000
253,False,Mr.,Erik,,Ismert,,Roving Sports,adventure-works\pamela0,erik0@adventure-works.com,116-555-0163,qH31PnQBwyUFQKdjw4bJmkw4mcqJUwRlENuk3bHLNx4=,xAk6xGo=,E09AB347-7FB1-453F-A4BD-377E68EC8C33,2006-07-01 00:00:00.000
255,False,Mr.,Sunil,,Uppal,,Swift Cycles,adventure-works\jillian0,sunil0@adventure-works.com,184-555-0187,agm2RVYpEMjc+OpNxGG7gujHre5Wv8c+QcQgm6orG2I=,Yqlwc+g=,0A21109F-02B0-4601-B4F7-2ED62C342385,2005-08-01 00:00:00.000
257,False,Mr.,Matthias,,Berndt,,Number 1 Supply,adventure-works\shu0,matthias1@adventure-works.com,384-555-0169,PGmZaBbqtByrVs9jYLcigdjJ5O29jcKmsdbRwANU3WQ=,6Mzfp8w=,A24F5A79-DD85-4EB2-A6A2-6E7026763FF8,2006-08-01 00:00:00.000
258,False,Mr.,Sairaj,,Uddin,,Quantity Discounts,adventure-works\linda3,sairaj1@adventure-works.com,767-555-0193,S71ozp3yMBzUJk7fj4M8SRU+dElVKuXvieJDpDOvVv8=,iKVyEt4=,5549DF48-409F-4C2A-B97B-900EB598843C,2006-08-01 00:00:00.000
259,False,Mr.,Lucio,,Iallo,,Highway Bike Shop,adventure-works\shu0,lucio0@adventure-works.com,199-555-0135,YodKwREGttzzQZXSLkjMe6ipm+9hE2yzBmAYNlj3qKM=,7hC00f0=,2C3F7A56-819C-4E83-B791-3CE02366D3CF,2005-08-01 00:00:00.000
262,False,Ms.,Beth,,Inghram,,General Industries,adventure-works\josé1,beth0@adventure-works.com,718-555-0152,F+vY3tSf0ZDAiQakfFA7yxIP0M8ljrI5oYD1F1iZt4w=,H5fjp4Y=,1C783210-2B1E-46E2-A2C8-23E610FEEB3C,2006-09-01 00:00:00.000
275,False,Mr.,Chris,,Cannon,,Outdoor Sporting Goods,adventure-works\shu0,chris5@adventure-works.com,118-555-0131,RKimtgGoqQN8dj2KGy7mvo2DrpTK0yOpF9e6sgxyOTU=,LQWSses=,68DC7932-128E-47CC-80CB-CF2B1A352F3C,2007-07-01 00:00:00.000
277,False,Mr.,Guy,,Gilbert,,The Bicycle Accessories Company,adventure-works\shu0,guy0@adventure-works.com,583-555-0198,YMhZzdS3NtxXPsz/PPksfdYWIvhuoemim9KoDsx20cg=,rQoQs38=,37156292-0D92-4F6B-9014-CCB0B29E9F9A,2006-09-01 00:00:00.000
286,False,Mr.,Leo,,Giakoumakis,,Number One Bike Co.,adventure-works\jae0,leo0@adventure-works.com,1 (11) 500 555-0169,x78xcW0FvKo3V2RvMGf37bcWhb50vMZ22IuaZcu+qmM=,abrUsFg=,6266CCC4-1AF0-42E0-BCA4-B33EA6838EEE,2006-07-01 00:00:00.000
287,False,Mr.,Grant,,Culbertson,,Handy Bike Services,adventure-works\michael9,grant1@adventure-works.com,859-555-0173,nkkvhNgGMBN5JS2w3ewyvV4KCwrTMYC4+yoS/4hIUok=,fqDHYeo=,448CBBFE-EDDC-443D-B7C8-57AEAA463BE5,2005-08-01 00:00:00.000
290,False,Mr.,Scott,,Culp,,Friendly Bike Shop,adventure-works\david8,scott3@adventure-works.com,119-555-0167,Xf7AJHcry+LouddJR3dIGHjo8du8EO+214E81gPafj0=,rXx8clQ=,D0DCDE2D-8C38-48FC-9D83-5EBE8A8577AE,2006-07-01 00:00:00.000
293,False,Mr.,Conor,,Cunningham,,Fashionable Bikes and Accessories,adventure-works\shu0,conor0@adventure-works.com,115-555-0113,/yVQQacXlcqZVH6x20kKCxCJ+sP4EjmPQXwwwInfNH0=,vJ/AcXo=,B37A0D83-7ED6-4C58-A476-F59B7AE4FC85,2005-09-01 00:00:00.000
298,False,Mr.,Robert,,Mitosinka,,City Cycling,adventure-works\josé1,robert10@adventure-works.com,239-555-0198,vCVsOjGm0KyeirgUeD9DQYxoh13CXTJAA03IytWGrhs=,mQH+E8w=,16101465-48B9-4147-9C53-6610FEADF778,2007-09-01 00:00:00.000
299,False,Mr.,Thierry,,D'Hers,,Citywide Service and Repair,adventure-works\josé1,thierry1@adventure-works.com,680-555-0192,i+ukExAQLOnEpQFQLme/QYR8w6kME+/MdykXoSxwgFI=,FooiQMs=,1CEA8D76-4A20-4D76-9DA2-A3777FD7E693,2006-07-01 00:00:00.000
300,False,Mr.,Daniel,,Blanco,,Nice Bikes,adventure-works\garrett1,daniel0@adventure-works.com,221-555-0167,bnDkCXU7YCA05COiVJst0pMlaJtfAK0H8pgniBfLooM=,oOIbGSo=,7256F9B7-5253-4384-B8DE-60B6F0ADF5A6,2006-09-01 00:00:00.000
304,False,Ms.,Linda,,Mitchell,,Essential Bike Works,adventure-works\jae0,linda9@adventure-works.com,1 (11) 500 555-0182,LJhS2DW9IscOBidp+dn6JWOa8axqqpEw2XIUiUMRKVM=,hrRF3s4=,C332C909-EE43-4312-A9D8-B2365A0160EA,2007-09-01 00:00:00.000
309,False,Mr.,John,,Arthur,,The Gear Store,adventure-works\jillian0,john6@adventure-works.com,149-555-0113,AJwPH2IQhCHW77xtUnJh0G0EXqA11PsPLRRuSQK+K9U=,ZXH0EUg=,A80B5E25-5EF4-4910-B70B-B2D1F5B207C2,2005-08-01 00:00:00.000
310,False,Mr.,Frank,,Miller,,Orange Bicycle Company,adventure-works\jillian0,frank6@adventure-works.com,118-555-0184,h7ho5pw1ypORUO13IMzogsDDW1C9bUTmGWsz06Xax8E=,n/q5ims=,0D9A0E94-F5E9-4021-8E81-F7F2F18144B1,2006-08-01 00:00:00.000
311,False,Sr.,Alvaro,,De Matos Miranda Filho,,Principal Bike Company,adventure-works\shu0,alvaro0@adventure-works.com,551-555-0155,BrhebOErAX2tbZ1LZxAb8hwE96ZdIjikETxIsIKfpLw=,v5pJpw0=,F070050E-2B33-41A2-A995-D9DF09EB3AE3,2006-09-01 00:00:00.000
313,False,Mr.,Dylan,,Miller,,Metropolitan Manufacturing,adventure-works\shu0,dylan1@adventure-works.com,140-555-0192,kE/AZF2xtlVStSAI51sBwnA1CENgrWppF3qD5KxBdVE=,q1lJvKo=,2157D9A9-A284-4001-973A-27196613681A,2005-11-01 00:00:00.000
316,False,Mr.,Ben,,Miller,,Low Price Cycles,adventure-works\josé1,ben1@adventure-works.com,207-555-0167,d8+17xmtxYv0ovo+dfdJCIe7zpoChbE+X4f+gQrPU3A=,6CMCzUQ=,8C95E9D8-88D0-4E6A-8149-B4C6C79E65BD,2007-08-01 00:00:00.000
318,False,Ms.,Ann,,Beebe,,First-Rate Outlet,adventure-works\garrett1,ann0@adventure-works.com,277-555-0169,l3pyVEyTaWqsF1xRfSXtR2CgCOfOXQCSumdlzqMKLxQ=,BX3pcB8=,D241D8F1-5A7A-41B3-8723-1E2B1A9FDBF6,2005-08-01 00:00:00.000
